_id,ObjectId,ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
1,1,2014,D11,Controlled Drugs and Substances Act,Other,201,195
2,2,2014,D11,Crimes Against Property,Auto Theft,124,43
3,3,2014,D11,Crimes Against Property,Break & Enter-Apartment,85,37
4,4,2014,D11,Crimes Against Property,Break & Enter-Commercial,58,18
5,5,2014,D11,Crimes Against Property,Break & Enter-House,89,34
6,6,2014,D11,Crimes Against Property,Break & Enter-Other,23,7
7,7,2014,D11,Crimes Against Property,Fraud,232,83
8,8,2014,D11,Crimes Against Property,Other,628,230
9,9,2014,D11,Crimes Against Property,Theft Over $5000,36,12
10,10,2014,D11,Crimes Against Property,Theft Under $5000,1774,790
11,11,2014,D11,Crimes Against the Person,Assault,648,496
12,12,2014,D11,Crimes Against the Person,Attempt Murder,1,1
13,13,2014,D11,Crimes Against the Person,Other,182,112
14,14,2014,D11,Crimes Against the Person,Robbery-Financial,7,7
15,15,2014,D11,Crimes Against the Person,Robbery-Other,127,49
16,16,2014,D11,Crimes Against the Person,Sexual Violation,94,51
17,17,2014,D11,Criminal Code Traffic,Other,87,87
18,18,2014,D11,Other Criminal Code Violations,Other,519,485
19,19,2014,D11,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,48,45
20,20,2014,D11,Other Federal Statute Violations,Other,19,19
21,21,2014,D12,Controlled Drugs and Substances Act,Other,333,321
22,22,2014,D12,Crimes Against Property,Auto Theft,247,51
23,23,2014,D12,Crimes Against Property,Break & Enter-Apartment,76,44
24,24,2014,D12,Crimes Against Property,Break & Enter-Commercial,41,15
25,25,2014,D12,Crimes Against Property,Break & Enter-House,90,36
26,26,2014,D12,Crimes Against Property,Break & Enter-Other,19,8
27,27,2014,D12,Crimes Against Property,Fraud,232,68
28,28,2014,D12,Crimes Against Property,Other,474,170
29,29,2014,D12,Crimes Against Property,Theft Over $5000,27,10
30,30,2014,D12,Crimes Against Property,Theft Under $5000,1119,478
31,31,2014,D12,Crimes Against the Person,Assault,694,508
32,32,2014,D12,Crimes Against the Person,Attempt Murder,6,5
33,33,2014,D12,Crimes Against the Person,Other,206,142
34,34,2014,D12,Crimes Against the Person,Robbery-Financial,3,3
